Season,TeamName,SeedNum,adjEM,adjO,adjD,barthag,wab,elo_pre_tourney,AvgScoreDiff,WinPct,sos_adjEM,adjD_inv
2003,Syracuse,3,23.28,114.4,91.1,,,1900.23815121732,9.394736842105264,0.8421052631578947,10.32,-91.1
2004,Connecticut,2,28.3,117.8,89.5,,,1947.3774882699486,13.372093023255815,0.813953488372093,8.93,-89.5
2005,North Carolina,1,32.77,122.5,89.7,,,2002.4355771103924,16.317073170731707,0.8536585365853658,11.64,-89.7
2006,Florida,3,28.28,117.9,89.7,,,1979.6969077639874,11.863636363636363,0.7727272727272727,8.35,-89.7
2007,Florida,1,30.81,122.8,92.0,,,1994.1606698317094,15.088888888888889,0.8222222222222222,8.73,-92.0
2008,Kansas,1,35.21,120.9,85.7,0.9815175274805735,9.894086180926676,2067.662159725939,18.88095238095238,0.9047619047619048,9.57,-85.7
2009,North Carolina,1,31.14,123.2,92.1,0.9654371349252014,7.707989676469583,2055.4676780186996,14.55,0.85,9.91,-92.1
2010,Duke,1,33.29,121.0,87.7,0.9730873917022378,8.414450230622066,2019.8931715238925,15.155555555555555,0.8666666666666667,11.53,-87.7
2011,Connecticut,3,23.93,115.8,91.9,0.9201021732419892,6.765291995660396,1924.7610075671778,5.916666666666667,0.7083333333333334,12.78,-91.9
2012,Kentucky,1,32.59,122.2,89.6,0.9730005048146564,11.2513208704318,2052.5875031132164,16.046511627906977,0.9302325581395349,7.99,-89.6
2013,Louisville,1,32.92,117.7,84.8,0.9718133409832661,8.969698571972211,2045.4990143103569,15.590909090909092,0.8863636363636364,10.23,-84.8
2014,Connecticut,7,22.13,113.6,91.5,0.9144475332062122,4.799949322746095,1940.7867372346184,7.644444444444445,0.7555555555555555,9.43,-91.5
2015,Duke,1,32.48,124.5,92.0,0.9731094172650449,10.556835932861986,2025.2889279224457,14.666666666666666,0.8809523809523809,11.17,-92.0
2016,Villanova,2,32.01,122.8,90.8,0.9687855072371977,8.954227890539839,2029.9178169655788,12.363636363636363,0.8409090909090909,10.74,-90.8
2017,North Carolina,1,28.22,120.7,92.5,0.9592402229749796,8.312283367478427,1972.3087032401083,12.476190476190476,0.7619047619047619,12.49,-92.5
2018,Villanova,1,33.76,127.8,94.0,0.9724653404720066,10.633730340086801,2041.7188750648909,14.911111111111111,0.8444444444444444,11.31,-94.0
2019,Virginia,1,34.22,123.4,89.2,0.971383373168519,11.092471670232579,2029.5512588304239,16.0,0.9024390243902439,11.18,-89.2
2021,Baylor,1,33.87,125.0,91.1,0.9677078528506591,6.691079395735766,2007.6695777081663,14.548387096774194,0.8709677419354839,13.25,-91.1
2022,Kansas,1,27.49,119.2,91.7,0.9579963106422189,10.402537886785785,1963.9840254182902,9.777777777777779,0.8222222222222222,12.6,-91.7
2023,Connecticut,4,29.86,120.8,90.9,0.9642803106595199,5.033487863153128,1982.1334024443502,12.731707317073171,0.7560975609756098,10.39,-90.9
2024,Connecticut,1,36.43,127.5,91.1,0.9798887624385693,11.23709734384979,2063.6786655662786,17.0,0.9090909090909091,12.42,-91.1
2025,Florida,1,36.46,128.2,91.8,0.9709476912163431,11.145701941854584,2045.8894100314012,15.681818181818182,0.8863636363636364,16.15,-91.8
