Team1,Seed1,Team2,Seed2,pred_total,low_total,high_total,resid_std,theo_total,avg_pace,T1_adjO,T1_adjD,T1_adjT,T2_adjO,T2_adjD,T2_adjT
Florida,X01,Purdue,Z02,155,138,171,16.1,166.4,67.5,125.5,91.7,70.5,131.6,100.4,64.4
Arizona,Z01,Purdue,Z02,154,138,170,16.1,165.5,67.1,127.7,90.0,69.8,131.6,100.4,64.4
Michigan,Y01,Purdue,Z02,154,138,170,16.1,165.2,67.7,126.6,89.0,70.9,131.6,100.4,64.4
Arizona,Z01,Florida,X01,151,135,167,16.1,161.4,70.2,127.7,90.0,69.8,125.5,91.7,70.5
Florida,X01,Michigan,Y01,151,135,167,16.1,161.0,70.7,125.5,91.7,70.5,126.6,89.0,70.9
Arizona,Z01,Michigan,Y01,150,134,167,16.1,160.1,70.3,127.7,90.0,69.8,126.6,89.0,70.9
Duke,W01,Purdue,Z02,150,134,166,16.1,159.4,64.8,128.0,89.1,65.3,131.6,100.4,64.4
Houston,X02,Purdue,Z02,148,132,164,16.1,156.9,63.9,124.9,91.4,63.3,131.6,100.4,64.4
Arizona,Z01,Duke,W01,147,131,163,16.1,154.7,67.5,127.7,90.0,69.8,128.0,89.1,65.3
Duke,W01,Florida,X01,147,131,164,16.1,155.6,67.9,128.0,89.1,65.3,125.5,91.7,70.5
Duke,W01,Michigan,Y01,147,130,163,16.1,154.4,68.1,128.0,89.1,65.3,126.6,89.0,70.9
Florida,X01,Houston,X02,146,130,162,16.1,153.4,66.9,125.5,91.7,70.5,124.9,91.4,63.3
Arizona,Z01,Houston,X02,145,129,161,16.1,152.5,66.5,127.7,90.0,69.8,124.9,91.4,63.3
Michigan,Y01,Houston,X02,145,129,161,16.1,152.2,67.1,126.6,89.0,70.9,124.9,91.4,63.3
Duke,W01,Houston,X02,142,125,158,16.1,146.8,64.3,128.0,89.1,65.3,124.9,91.4,63.3
