,0
d_elo_pre_tourney,821
d_elo_peak,248
d_elo_last10,239
d_elo_momentum,234
d_luck,140
t1_elo_pre_tourney,125
d_conf_tourney_winpct,80
d_WinPct,73
t1_luck,72
t1_elo_momentum,72
d_adjEM,69
d_tourney_s16_rate,69
t1_tv_adjde,61
d_Neutral_WinPct,59
t2_elo_pre_tourney,59
d_adjD,57
t2_kp_ht_Eff Hgt,50
d_kp_ff_Offense_FTRate_1,49
d_avg_Def_FTR,49
t2_ScoreDiff_std,49
d_AvgScoreDiff,48
t1_qual_games,48
d_avg_Def_TOV,47
d_avg_FTR,46
d_rank_COL,46
d_fun,45
d_qual_barthag,45
t2_avg_PPP,44
d_elo_consistency,43
d_wab,43
d_ScoreDiff_std,42
t2_kp_ms_AdjOE,42
d_sos_adjEM,41
d_kp_ff_AdjOE,41
t2_avg_Def_FTR,39
d_nc_sos_adjEM,39
t1_avg_ORB,37
t2_qual_games,36
d_kp_ms_Stl%,35
t1_adjEM,35
t2_adjEM,34
t1_kp_ms_AdjOE,33
d_kp_ht_Continuity,33
t1_kp_ht_Continuity,33
t2_luck,33
t2_opp_D,33
t2_kp_ms_NST%,32
t2_fun,32
d_opp_O,32
d_kp_ms_A%,32
t2_sos_adjEM,31
d_kp_ht_Experience,31
t1_elo_consistency,28
t1_nc_sos_adjEM,28
t1_kp_ff_AdjOE,28
t1_avg_FGA3_rate,28
t2_kp_ms_Blk%,28
t1_sos_adjEM,27
d_conf_tourney_wins,27
t2_kp_ff_Offense_TO%,27
d_avg_FGA3_rate,26
d_avg_Def_PPP,26
t1_avg_Def_ORB,26
t2_kp_ms_Stl%,26
t1_tourney_appearances,26
t2_elo_momentum,26
d_kp_ms_NST%,25
t1_qual_barthag,24
d_avg_Def_eFG,24
t1_conf_tourney_wins,24
t1_opp_O,23
d_kp_ff_Offense_OR%_1,23
t1_adjD,23
d_rank_composite,23
t1_avg_TOV,23
t2_rank_RPI,23
t2_avg_Def_TOV,23
t2_kp_ms_3PA%,23
d_kp_ms_3PA%,23
t2_avg_FTR,22
d_avg_Def_ORB,22
d_rank_MOR,22
d_rank_WOL,22
t1_rank_WOL,22
t1_kp_ms_NST%,21
d_kp_ms_3P%,21
t1_kp_ht_Experience,21
d_qual_games,21
t2_nc_sos_adjEM,21
d_kp_ms_Blk%,21
t1_kp_ms_A%,20
t1_AvgScoreDiff,20
t1_kp_ms_Blk%,20
t2_avg_FGA3_rate,20
t2_qual_barthag,20
d_Games,20
d_opp_D,19
t1_avg_FTR,19
d_kp_ff_Offense_TO%,19
t2_avg_Def_PPP,19
d_kp_ff_Offense_AdjDE,18
t1_avg_Def_TOV,18
t2_avg_Def_ORB,18
t2_elo_last10,18
t1_ScoreDiff_std,18
d_tourney_r32_rate,18
t1_Neutral_WinPct,18
d_kp_ms_2P%,18
t1_kp_ff_Offense_AdjDE,18
t1_barthag,18
d_barthag,18
t2_kp_ff_Offense_FTRate_1,17
d_tourney_recent_appear,17
t2_WinPct,17
t2_rank_WOL,16
t2_elo_peak,16
d_kp_ms_AdjOE,16
d_adjT,16
t1_kp_ff_Offense_OR%_1,16
t1_kp_ht_Bench,16
t2_tourney_appearances,15
d_kp_ht_PF Hgt,15
d_kp_ht_Avg Hgt,15
t2_avg_TOV,15
d_conf_tourney_champion,15
t2_adjO,15
t2_kp_ff_Offense_OR%_1,15
t1_rank_MOR,15
t1_kp_ms_FT%,15
t2_kp_ff_AdjOE,15
d_kp_ht_Bench,15
t2_tv_adjoe,15
d_rank_POM,15
t1_avg_PPP,14
t2_kp_ms_FT%,14
t2_opp_O,14
d_kp_ms_FT%,14
t1_kp_ht_C Hgt,14
t2_rank_MOR,14
t2_elite_sos,14
d_kp_ht_SG Hgt,14
d_kp_ht_Eff Hgt,14
t1_kp_ht_PF Hgt,13
d_tourney_e8_rate,13
d_elo_late_winpct,13
t2_adjT,13
t1_rank_DOK,13
t2_rank_COL,13
t1_adjT,13
t1_avg_Def_PPP,13
t1_tourney_avg_seed,12
d_tourney_appearances,12
t1_kp_ff_Offense_FTRate_1,12
d_tv_adjde,12
t2_tv_adjde,12
