,0
d_rank_consensus,0.03539906
d_adjEM,0.019449456
t2_barthag,0.016685134
d_elo_pre_tourney,0.01567352
d_rank_MOR,0.013903835
d_AvgScoreDiff,0.011598864
d_rank_RTH,0.0095728645
t1_elo_pre_tourney,0.008491912
t2_rank_POM,0.008314479
d_sos_adjEM,0.007792737
d_elo_last10,0.0077890474
d_rank_COL,0.0075153476
d_elo_peak,0.0073493314
t2_qual_barthag,0.007304666
d_rank_SAG,0.007113008
d_rank_POM,0.0067073614
t2_adjEM,0.0066260374
d_elite_sos,0.0064648064
t2_tv_adjoe,0.0063565136
d_rank_PGH,0.0062167626
t1_barthag_per_seed,0.0059461347
t2_elo_last10,0.005494142
d_opp_D,0.005344337
t2_conf_tourney_finalist,0.005253192
t1_cinderella_score,0.0052155587
d_qual_games,0.00517001
t2_rank_WLK,0.005134478
t2_elo_pre_tourney,0.004940194
t2_kp_ht_sf_hgt_delta,0.004904604
t2_conf_tourney_winpct,0.0048785117
d_hot_team_index,0.004687326
d_kp_ms_ms_3pa_pct,0.0046800002
d_kp_ms_ms_2p_pct,0.004650694
t2_sos_adjEM,0.0046148347
d_WinPct,0.004602845
d_rank_DOL,0.0044897497
t2_kp_ff_AdjDE,0.0043888283
t1_barthag,0.0043535763
d_elo_late_winpct,0.0043445765
d_kp_ff_AdjDE,0.0043389085
t2_coach_tourn_apps,0.0043280004
d_kp_ff_AdjOE,0.0043255547
d_rank_composite,0.004300773
d_kp_ht_eff_hgt_delta,0.004271143
t2_three_pt_reliance,0.0041554742
d_rank_DOK,0.0041471086
d_tourney_s16_rate,0.0040676477
t2_elo_momentum,0.0040641287
t1_conf_tourney_winpct,0.0040331287
d_rank_MAS,0.00401129
d_cinderella_score,0.0040057767
t1_WinPct,0.0040031266
t1_adjT,0.0039878865
d_tourney_win_rate,0.0039297934
t1_elite_sos,0.003929528
t1_kp_ht_pg_hgt_delta,0.003915629
d_rank_DUN,0.003905176
t2_WinPct,0.0038783674
d_conf_tourney_champion,0.0038726837
d_qual_barthag,0.0038456332
t1_wab,0.0038171965
t2_kp_ht_avg_hgt,0.003749445
d_kp_ht_pg_hgt_delta,0.0036969662
t1_Games,0.003696374
t1_sos_adjEM,0.0036912626
t1_rank_KPK,0.0036867317
d_rank_DCI,0.0036597543
t1_rank_consensus,0.0036226602
d_luck,0.0036202148
d_rank_BIH,0.00359896
d_conf_tourney_wins,0.0035809418
t2_kp_ff_D_OR_pct,0.003566844
t1_tv_adjoe,0.0035198706
d_opp_O,0.003494147
d_elo_momentum,0.0034674036
d_coach_tourn_apps,0.0034673056
d_barthag,0.0034633903
t1_rank_DCI,0.0034537972
t1_rank_LMC,0.0034388702
t2_elite_sos,0.0034186193
t1_qual_games,0.0034163957
t1_tourney_f4_rate,0.0034106662
t1_tourney_s16_rate,0.0033979134
t1_rank_RTH,0.0033750997
t2_tourney_e8_rate,0.0033712394
t1_kp_ht_eff_hgt_delta,0.0033502926
d_adjD,0.0033479778
d_tourney_r32_rate,0.0033016575
d_conf_tourney_winpct,0.0032984489
d_rank_LMC,0.0032953592
t1_rank_WOL,0.003242257
t1_elo_momentum,0.0032338672
t1_kp_ff_AdjDE,0.003219484
t1_hot_team_index,0.0032184643
d_kp_ff_O_FTRate,0.0032078421
t1_avg_Def_TOV,0.0032052847
d_wab,0.0031952253
t2_ScoreDiff_std,0.0031824932
t2_opp_O,0.0031789024
d_kp_ms_ms_3p_pct,0.0031464554
t2_rank_PGH,0.0030691894
t1_kp_ms_ms_3pa_pct,0.0030523683
t2_rank_consensus,0.00301889
d_rank_KPK,0.003016024
t1_elo_late_winpct,0.003008714
t2_rank_DUN,0.002999819
t2_kp_ht_sg_hgt_delta,0.0029904724
t1_luck,0.0029820157
d_avg_Def_FTR,0.0029662899
d_Neutral_WinPct,0.0029447407
t2_cinderella_score,0.0029281385
t1_elo_last10,0.0029241317
d_ScoreDiff_std,0.0029019455
t1_tourney_appearances,0.0028704016
d_avg_Def_TOV,0.0028508492
t1_conf_tourney_wins,0.0028343573
t2_avg_Def_ORB,0.0028221994
d_kp_ht_sg_hgt_delta,0.0028078726
t1_rank_DOK,0.0028073783
t1_kp_ff_AdjTempo,0.002801352
d_tv_adjt,0.002781407
t1_kp_ht_c_hgt_delta,0.0027783017
t1_fun,0.0027617237
t2_kp_ff_D_FTRate,0.002753377
t2_kp_ff_AdjOE,0.0027166293
d_kp_ff_D_OR_pct,0.0027114537
t2_rank_MAS,0.0027100614
d_tourney_recent_best,0.0027031065
d_kp_ms_ms_blk_pct,0.0026969837
t2_rank_MOR,0.0026716173
t2_kp_ms_ms_stl_pct,0.0026655644
d_rank_WLK,0.00265509
d_kp_ht_sf_hgt_delta,0.0026462665
t1_kp_ms_ms_stl_pct,0.00264543
t2_rank_DOK,0.0026387551
t1_kp_ht_sg_hgt_delta,0.0026362312
t2_rank_WOL,0.0026204232
t1_tourney_win_rate,0.0026168113
t1_avg_FTR,0.0026107798
d_elo_consistency,0.002605374
t1_coach_tenure,0.0026047984
t2_SeedNum,0.0025905215
t1_tv_adjde,0.0025742806
t1_adjD,0.0025671003
t2_avg_PPP,0.0025565752
t2_rank_SAG,0.0025343986
t2_kp_ff_O_OR_pct,0.0025302877
t2_kp_ff_D_eFG_pct,0.0025091355
t2_kp_ms_ms_a_pct,0.0025008554
t2_kp_ht_pg_hgt_delta,0.0025005091
d_kp_ms_ms_a_pct,0.0024944723
d_Games,0.0024814485
t1_coach_career_winpct,0.002476513
t2_kp_ff_AdjTempo,0.0024648325
d_fun,0.0024609256
d_conf_tourney_finalist,0.002447949
d_tourney_avg_seed,0.0024460307
t1_elo_peak,0.002445042
t1_qual_barthag,0.0024431748
t2_fun,0.0024357084
t1_avg_ORB,0.0024350379
t2_avg_FTR,0.0024279708
d_nc_sos_adjEM,0.0024252243
d_avg_Def_ORB,0.002424627
t2_luck,0.0024203705
t2_kp_ms_ms_3p_pct,0.0024176894
d_avg_Def_eFG,0.002404671
t1_rank_BIH,0.002394826
t1_rank_MAS,0.0023900084
d_kp_ht_continuity,0.0023764642
t1_kp_ht_continuity,0.002374876
d_avg_ORB,0.002363977
t1_Neutral_WinPct,0.0023462863
t2_avg_Def_FTR,0.0023365926
t2_tourney_f4_rate,0.002334528
t1_nc_sos_adjEM,0.0023261902
t2_avg_Def_PPP,0.0023172845
t1_adjO,0.002306028
t1_coach_tourn_apps,0.0023051158
t1_tourney_recent_appear,0.0023027232
t2_tourney_win_rate,0.0023021223
d_avg_FTR,0.0023017053
t2_adjO,0.0022980697
t2_avg_Def_eFG,0.0022939472
t2_Neutral_WinPct,0.0022896368
t2_opp_D,0.00227212
d_kp_ff_O_TO_pct,0.002268311
t1_rank_DUN,0.002250032
t1_avg_PPP,0.0022495696
t2_tourney_s16_rate,0.0022479477
t1_ScoreDiff_std,0.0022439847
d_tourney_e8_rate,0.0022290589
t1_rank_COL,0.0022269145
t1_kp_ff_O_TO_pct,0.0022252817
t1_kp_ff_O_FTRate,0.0022212216
t1_kp_ff_D_eFG_pct,0.0022206742
t1_kp_ff_D_TO_pct,0.0022135659
t2_rank_COL,0.0021984547
t1_kp_ms_ms_a_pct,0.0021884704
t2_rank_RPI,0.002185708
t1_avg_Def_eFG,0.0021834562
t2_tourney_appearances,0.0021655883
t1_kp_ms_ms_blk_pct,0.0021617885
d_coach_career_winpct,0.0021394913
t1_rank_WIL,0.0021328481
t1_avg_TOV,0.0021277159
t2_tempo_deviation,0.0021081388
t2_kp_ff_O_eFG_pct,0.0020954178
d_kp_ms_ms_ft_pct,0.002093922
t2_rank_DCI,0.0020679138
d_tourney_recent_appear,0.0020669394
t2_coach_tenure,0.0020535958
t2_tv_adjt,0.002048497
d_kp_ht_c_hgt_delta,0.0020480584
t1_adjEM,0.0020401804
d_adjEM_per_seed,0.0020391112
d_barthag_per_seed,0.0020248676
t2_adjEM_per_seed,0.0020176577
d_avg_PPP,0.0020082032
t1_rank_RPI,0.0020078649
d_tourney_f4_rate,0.0020071692
t1_tourney_r32_rate,0.0020062118
t2_kp_ff_O_TO_pct,0.0019931928
t1_kp_ff_D_OR_pct,0.00198407
t2_rank_BIH,0.001978998
t2_hot_team_index,0.001963519
t2_qual_games,0.0019565867
t1_rank_POM,0.0019490555
d_kp_ff_D_FTRate,0.0019392179
d_avg_Def_PPP,0.0019371236
d_three_pt_reliance,0.0019362548
d_avg_eFG,0.0019358286
t1_kp_ff_O_eFG_pct,0.0019344379
t1_avg_Def_FTR,0.0019319691
t2_kp_ms_ms_2p_pct,0.0019317114
d_rank_RPI,0.0019273577
t1_rank_DOL,0.0019263409
t2_elo_late_winpct,0.0019247949
d_rank_WOL,0.0019232694
d_kp_ff_D_TO_pct,0.0018998494
d_kp_ff_D_eFG_pct,0.0018995284
t1_tourney_avg_seed,0.0018979395
t1_kp_ht_pf_hgt_delta,0.0018978125
d_tv_adjde,0.0018867108
t1_rank_PGH,0.0018801708
t2_rank_WIL,0.0018740846
t2_tv_adjde,0.0018707621
t2_coach_career_winpct,0.0018695121
t1_kp_ff_O_OR_pct,0.0018471066
t2_elo_consistency,0.0018471048
t1_coach_tourn_wins,0.0018436357
d_tv_adjoe,0.0018422857
t2_kp_ht_continuity,0.001818287
t2_kp_ht_c_hgt_delta,0.0018144327
t2_kp_ms_ms_blk_pct,0.0018061652
t1_kp_ff_D_FTRate,0.001805304
d_coach_f4s,0.0017921727
d_avg_TOV,0.0017816643
t2_kp_ht_experience,0.0017691625
d_kp_ms_ms_stl_pct,0.0017681518
t2_tourney_avg_seed,0.0017681388
t2_avg_eFG,0.0017576674
t2_avg_FGA3_rate,0.0017569889
t1_three_pt_reliance,0.0017541366
d_kp_ff_O_eFG_pct,0.0017401992
t1_tempo_deviation,0.0017397301
t2_kp_ms_ms_ft_pct,0.0017275426
t1_avg_Def_ORB,0.0017208726
d_adjT,0.0017060187
t2_kp_ff_O_FTRate,0.0016936075
d_rank_WIL,0.0016919844
d_kp_ht_pf_hgt_delta,0.0016902968
t2_kp_ht_pf_hgt_delta,0.001681628
t1_avg_eFG,0.0016443173
t2_avg_TOV,0.0016418037
t2_Games,0.0016346186
t1_avg_Def_PPP,0.0016250354
t2_kp_ms_ms_3pa_pct,0.001611495
t2_elo_peak,0.0016111775
t1_opp_O,0.0016053332
t1_elo_consistency,0.00160339
t2_kp_ff_D_TO_pct,0.0015912316
t2_avg_Def_TOV,0.0015825236
t1_kp_ms_ms_3p_pct,0.0015781032
t1_kp_ms_ms_2p_pct,0.0015771065
t2_tourney_recent_appear,0.0015622209
d_tempo_deviation,0.0015486672
d_kp_ht_experience,0.0015445544
d_kp_ff_AdjTempo,0.0015437572
t1_kp_ht_experience,0.0015368945
t1_avg_FGA3_rate,0.0015224573
d_coach_tourn_wins,0.001491173
t1_adjEM_per_seed,0.0014870543
t2_tourney_best_round,0.0014681723
d_tourney_appearances,0.0014670709
t2_adjT,0.0014646468
d_kp_ht_avg_hgt,0.001452561
t1_tourney_recent_best,0.0014512668
d_coach_tenure,0.0014428688
t1_kp_ht_avg_hgt,0.0014424783
t2_coach_f4s,0.0013920667
t2_AvgScoreDiff,0.0013814407
t1_kp_ff_AdjOE,0.0013799608
t1_tv_adjt,0.0013678303
d_adjO,0.0013399125
t1_kp_ms_ms_ft_pct,0.0013214285
t2_barthag_per_seed,0.0013128049
t2_adjD,0.0013081331
t2_kp_ht_eff_hgt_delta,0.0012907705
t2_avg_ORB,0.0012758437
t1_AvgScoreDiff,0.0012438376
t2_conf_tourney_wins,0.0012184597
d_avg_FGA3_rate,0.0012110695
t2_rank_composite,0.0011884108
t2_nc_sos_adjEM,0.0011687641
t2_coach_tourn_wins,0.0011317097
t2_conf_tourney_champion,0.001120372
t2_tourney_r32_rate,0.0011199147
t2_wab,0.0010334612
t1_opp_D,0.0009836568
t1_coach_f4s,0.0009562009
t1_kp_ht_sf_hgt_delta,0.0009464958
