Season,TeamName,TeamID,Seed,Wins,Record,Deepest Round
2019,Abilene Chr,1101,15,0,0-1,R64 Exit
2021,Abilene Chr,1101,14,1,1-1,Round of 32
2004,Air Force,1102,11,0,0-1,R64 Exit
2006,Air Force,1102,13,0,0-1,R64 Exit
2009,Akron,1103,13,0,0-1,R64 Exit
2011,Akron,1103,15,0,0-1,R64 Exit
2013,Akron,1103,12,0,0-1,R64 Exit
2022,Akron,1103,13,0,0-1,R64 Exit
2024,Akron,1103,14,0,0-1,R64 Exit
2025,Akron,1103,13,0,0-1,R64 Exit
2003,Alabama,1104,10,0,0-1,R64 Exit
2004,Alabama,1104,8,3,3-1,Elite Eight
2005,Alabama,1104,5,0,0-1,R64 Exit
2006,Alabama,1104,10,1,1-1,Round of 32
2012,Alabama,1104,9,0,0-1,R64 Exit
2018,Alabama,1104,9,1,1-1,Round of 32
2021,Alabama,1104,2,2,2-1,Sweet 16
2022,Alabama,1104,6,0,0-1,R64 Exit
2023,Alabama,1104,1,2,2-1,Sweet 16
2024,Alabama,1104,4,4,4-1,Final Four
2025,Alabama,1104,2,3,3-1,Elite Eight
2005,Alabama A&M,1105,16,0,0-1,R64 Exit
2004,Alabama St,1106,16,0,0-1,R64 Exit
2009,Alabama St,1106,16,0,0-1,R64 Exit
2011,Alabama St,1106,16,0,0-1,R64 Exit
2025,Alabama St,1106,16,1,1-1,Round of 32
2008,American Univ,1110,15,0,0-1,R64 Exit
2009,American Univ,1110,14,0,0-1,R64 Exit
2014,American Univ,1110,15,0,0-1,R64 Exit
2025,American Univ,1110,16,0,0-1,R64 Exit
2021,Appalachian St,1111,16,0,0-1,R64 Exit
2003,Arizona,1112,1,3,3-1,Elite Eight
2004,Arizona,1112,9,0,0-1,R64 Exit
2005,Arizona,1112,3,3,3-1,Elite Eight
2006,Arizona,1112,8,1,1-1,Round of 32
2007,Arizona,1112,8,0,0-1,R64 Exit
2008,Arizona,1112,10,0,0-1,R64 Exit
2009,Arizona,1112,12,2,2-1,Sweet 16
2011,Arizona,1112,5,3,3-1,Elite Eight
2013,Arizona,1112,6,2,2-1,Sweet 16
2014,Arizona,1112,1,3,3-1,Elite Eight
2015,Arizona,1112,2,3,3-1,Elite Eight
2016,Arizona,1112,6,0,0-1,R64 Exit
2017,Arizona,1112,2,2,2-1,Sweet 16
2018,Arizona,1112,4,0,0-1,R64 Exit
2022,Arizona,1112,1,2,2-1,Sweet 16
2023,Arizona,1112,2,0,0-1,R64 Exit
2024,Arizona,1112,2,2,2-1,Sweet 16
2025,Arizona,1112,4,2,2-1,Sweet 16
2003,Arizona St,1113,10,1,1-1,Round of 32
2009,Arizona St,1113,6,1,1-1,Round of 32
