Seed,Team,Model%,Field%,EV_ratio,F4%
W01,Duke,53.0,24.0,2.21,84.0
Z01,Arizona,37.3,24.0,1.55,87.6
Y01,Michigan,6.8,24.0,0.28,69.3
X02,Houston,0.9,12.0,0.07,48.6
Y04,Alabama,0.3,5.0,0.05,11.7
Z02,Purdue,0.5,12.0,0.04,10.0
X01,Florida,0.8,24.0,0.03,47.8
Z04,Arkansas,0.2,5.0,0.03,1.6
Y03,Virginia,0.0,7.0,0.01,11.3
W02,Connecticut,0.1,12.0,0.01,8.9
X03,Illinois,0.1,7.0,0.01,2.0
Y12,Akron,0.0,0.5,0.01,0.3
X15,Idaho,0.0,0.1,0.0,0.0
Y16,Howard,0.0,0.1,0.0,0.0
Y13,Hofstra,0.0,0.3,0.0,0.0
Z13,Hawaii,0.0,0.3,0.0,0.0
Z12,High Point,0.0,0.5,0.0,0.0
W14,N Dakota St,0.0,0.2,0.0,0.0
W15,Furman,0.0,0.1,0.0,0.0
X16a,Lehigh,0.0,0.1,0.0,0.0
Y10,Santa Clara,0.0,0.7,0.0,0.1
Z14,Kennesaw,0.0,0.2,0.0,0.0
Y11b,SMU,0.0,0.6,0.0,0.0
X09,Iowa,0.0,0.8,0.0,0.0
Z07,Miami FL,0.0,1.5,0.0,0.0
Y07,Kentucky,0.0,1.5,0.0,0.0
Z16,LIU Brooklyn,0.0,0.1,0.0,0.0
X16b,Prairie View,0.0,0.1,0.0,0.0
X12,McNeese St,0.0,0.5,0.0,0.0
W16,Siena,0.0,0.1,0.0,0.0
Y11a,Miami OH,0.0,0.6,0.0,0.1
Z10,Missouri,0.0,0.7,0.0,0.0
X04,Nebraska,0.0,5.0,0.0,0.3
X06,North Carolina,0.0,2.0,0.0,0.0
W12,Northern Iowa,0.0,0.5,0.0,0.0
W08,Ohio St,0.0,1.0,0.0,0.0
X14,Penn,0.0,0.2,0.0,0.0
X11,VCU,0.0,0.6,0.0,0.1
Z08,Villanova,0.0,1.0,0.0,0.0
Z09,Utah St,0.0,0.8,0.0,0.0
W06,Louisville,0.0,2.0,0.0,0.0
W04,Kansas,0.0,5.0,0.0,1.3
W03,Michigan St,0.0,7.0,0.0,4.7
W05,St John's,0.0,3.0,0.0,0.9
Y02,Iowa St,0.0,12.0,0.0,6.3
Z03,Gonzaga,0.0,7.0,0.0,0.5
Y05,Texas Tech,0.0,3.0,0.0,0.7
Z06,BYU,0.0,2.0,0.0,0.1
X05,Vanderbilt,0.0,3.0,0.0,0.8
Y08,Georgia,0.0,1.0,0.0,0.1
Z05,Wisconsin,0.0,3.0,0.0,0.2
X08,Clemson,0.0,1.0,0.0,0.1
W11,South Florida,0.0,0.6,0.0,0.0
W07,UCLA,0.0,1.5,0.0,0.1
Y09,St Louis,0.0,0.8,0.0,0.0
X07,St Mary's CA,0.0,1.5,0.0,0.1
W09,TCU,0.0,0.8,0.0,0.0
Y06,Tennessee,0.0,2.0,0.0,0.1
W13,Cal Baptist,0.0,0.3,0.0,0.0
Y15,Tennessee St,0.0,0.1,0.0,0.0
Z11,Texas,0.0,0.6,0.0,0.0
Y14,Wright St,0.0,0.2,0.0,0.0
X10,Texas A&M,0.0,0.7,0.0,0.0
X13,Troy,0.0,0.3,0.0,0.0
W10,UCF,0.0,0.7,0.0,0.0
Z15,Queens NC,0.0,0.1,0.0,0.0
