Seed,SeedNum,TeamName,model_R64,hist_R64,ev_R64,model_R32,hist_R32,ev_R32,model_S16,hist_S16,ev_S16,model_E8,hist_E8,ev_E8,model_F4,hist_F4,ev_F4,model_NCG,hist_NCG,ev_NCG,model_Champion,hist_Champion,ev_Champion
W01,1,Duke,100.0,100.0,1.0,95.2,97.5,0.98,90.2,85.0,1.06,85.4,65.6,1.3,77.7,25.0,3.11,74.2,25.6,2.9,45.4,16.2,2.8
W02,2,Connecticut,100.0,100.0,1.0,97.8,91.9,1.06,79.8,64.4,1.24,40.9,45.0,0.91,9.9,6.2,1.58,1.9,8.1,0.23,0.1,3.1,0.04
W03,3,Michigan St,100.0,100.0,1.0,98.7,85.0,1.16,83.4,53.1,1.57,52.0,25.6,2.03,6.8,3.1,2.18,0.6,6.9,0.08,0.0,2.5,0.02
W04,4,Kansas,100.0,100.0,1.0,98.9,78.8,1.26,61.1,48.1,1.27,9.1,15.6,0.58,3.0,4.4,0.67,0.2,2.5,0.09,0.0,1.2,0.02
W05,5,St John's,100.0,100.0,1.0,85.9,63.1,1.36,38.4,35.0,1.1,2.8,7.5,0.37,1.7,4.4,0.39,0.2,2.5,0.06,0.0,0.0,0.0
W06,6,Louisville,100.0,100.0,1.0,60.3,60.6,0.99,14.1,29.4,0.48,3.2,10.0,0.32,0.3,1.9,0.14,0.0,1.2,0.02,0.0,0.6,0.0
W07,7,UCLA,100.0,100.0,1.0,90.3,60.6,1.49,17.1,18.1,0.95,2.9,6.2,0.47,0.2,1.9,0.12,0.0,0.6,0.01,0.0,0.6,0.0
W08,8,Ohio St,100.0,100.0,1.0,88.0,46.9,1.88,8.1,11.2,0.72,2.5,5.6,0.44,0.4,2.5,0.16,0.0,2.5,0.01,0.0,0.6,0.0
W09,9,TCU,100.0,100.0,1.0,12.0,51.9,0.23,0.8,5.0,0.17,0.0,3.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W10,10,UCF,100.0,100.0,1.0,9.7,38.0,0.26,3.0,16.5,0.18,0.7,5.7,0.12,0.1,0.6,0.11,0.0,0.0,0.0,0.0,0.0,0.0
