TeamID,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_NCG,prob_Champion,Seed,SeedNum,TeamName
1112,1.0,0.81253,0.70061,0.56182,0.44573,0.33465,0.24103,Z01,1,Arizona
1181,1.0,0.81487,0.62821,0.493,0.36833,0.28501,0.1835,W01,1,Duke
1196,1.0,0.83766,0.60794,0.46795,0.33193,0.18353,0.08812,X01,1,Florida
1276,1.0,0.76744,0.54667,0.37279,0.26727,0.1462,0.08335,Y01,1,Michigan
1222,1.0,0.75445,0.60263,0.43624,0.24712,0.13505,0.06099,X02,2,Houston
1116,1.0,0.65749,0.51824,0.19463,0.12968,0.08238,0.04652,Z04,4,Arkansas
1345,1.0,0.67985,0.48969,0.30544,0.12827,0.07016,0.03173,Z02,2,Purdue
1104,1.0,0.64083,0.39858,0.21869,0.13406,0.0606,0.02755,Y04,4,Alabama
1163,1.0,0.75104,0.47306,0.28802,0.13655,0.05898,0.02078,W02,2,Connecticut
1228,1.0,0.68984,0.44257,0.20366,0.09562,0.04511,0.01949,X03,3,Illinois
1277,1.0,0.69699,0.47921,0.29221,0.1247,0.04858,0.01717,W03,3,Michigan St
1235,1.0,0.74295,0.54255,0.33528,0.16018,0.05056,0.01715,Y02,2,Iowa St
1438,1.0,0.68557,0.44787,0.26157,0.12295,0.04244,0.01509,Y03,3,Virginia
1211,1.0,0.6882,0.38317,0.21463,0.06753,0.03557,0.01337,Z03,3,Gonzaga
1242,1.0,0.65626,0.41902,0.17557,0.08808,0.03281,0.01251,W04,4,Kansas
1435,1.0,0.62413,0.39699,0.15838,0.06928,0.02905,0.01024,X05,5,Vanderbilt
1403,1.0,0.59405,0.31398,0.14385,0.07153,0.02504,0.01008,Y05,5,Texas Tech
1385,1.0,0.60729,0.35514,0.1156,0.06606,0.02722,0.00974,W05,5,St John's
1458,1.0,0.61979,0.27202,0.10646,0.05619,0.02589,0.00969,Z05,5,Wisconsin
1304,1.0,0.60033,0.30238,0.13316,0.05074,0.01887,0.00604,X04,4,Nebraska
1433,1.0,0.53489,0.26106,0.10727,0.0451,0.0167,0.00576,X11,11,VCU
1140,1.0,0.56949,0.31154,0.14264,0.0327,0.0139,0.00548,Z06,6,BYU
1400,1.0,0.43051,0.23389,0.10953,0.03548,0.01346,0.0049,Z11,11,Texas
1326,1.0,0.66014,0.21121,0.10604,0.04384,0.01531,0.00464,W08,8,Ohio St
1417,1.0,0.65087,0.30001,0.1321,0.04732,0.01496,0.00464,W07,7,UCLA
1388,1.0,0.61522,0.20017,0.10236,0.03858,0.01462,0.00428,X07,7,St Mary's CA
1257,1.0,0.54706,0.26167,0.11611,0.0413,0.01397,0.00425,W06,6,Louisville
1208,1.0,0.59449,0.28251,0.11029,0.04996,0.01432,0.00401,Y08,8,Georgia
1397,1.0,0.59077,0.30035,0.12709,0.04782,0.01238,0.00322,Y06,6,Tennessee
1416,1.0,0.34913,0.17512,0.07437,0.02587,0.0091,0.00321,W10,10,UCF
1155,1.0,0.57259,0.22632,0.08744,0.03082,0.01068,0.00289,X08,8,Clemson
1474,1.0,0.32015,0.14927,0.06878,0.02368,0.00884,0.00274,Z15,15,Queens NC
1103,1.0,0.40595,0.15546,0.0604,0.02321,0.00754,0.00242,Y12,12,Akron
1246,1.0,0.50161,0.19766,0.09185,0.03559,0.00885,0.00237,Y07,7,Kentucky
1407,1.0,0.39967,0.14724,0.05222,0.01894,0.00625,0.00203,X13,13,Troy
1365,1.0,0.49839,0.18757,0.07914,0.02558,0.00614,0.00152,Y10,10,Santa Clara
